Timestamp,What is your age group?,Gender,Which mode do you prefer to watch movies?,Which one of the following genres do you prefer to watch? (Select your top most favorite),Which of the following do you use most frequently to choose a streaming platform?,On which devices do you primarily watch content?,How often do you watch or consume content from streaming platforms?,Are you satisfied with the recommendations you receive from streaming platforms?,How satisfied are you with the recommendations you receive from streaming platforms?,What prevents you from using Netflix?,How long do you spend each day watching content on streaming services?,"Does high subscription rate of one platform, forces you to switch to another platform?",Kindly give your preference
9/28/2024 17:35:58,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Romance,Netflix,Laptop/PC,Once a week,Yes,5,High Subscription Cost,1-3hrs,Yes,4-5 Season Television Series
9/28/2024 17:44:22,25-34,Male,Theatre Hall,Thriller,Netflix,Laptop/PC,Daily,Yes,5,Lack of Desired Shows/Movies,Less than 1hr,Maybe,4-5 Season Television Series
9/28/2024 17:49:38,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Thriller,Netflix,Laptop/PC,Several times a week,Yes,4,N/A,Less than 1hr,Maybe,2hrs movie
9/28/2024 17:47:04,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Netflix,Smartphone,Several times a week,Yes,4,High Subscription Cost,Less than 1hr,Maybe,4-5 Season Television Series
9/28/2024 17:47:18,18-24,Female,Theatre Hall,Romance,Netflix,Laptop/PC,Occasionally,No,2,Limited Content Variety,1-3hrs,Maybe,2hrs movie
9/28/2024 18:02:30,18-24,Male,Theatre Hall,Science Fiction,Netflix,Laptop/PC,Occasionally,Yes,2,High Subscription Cost,Less than 1hr,Maybe,4-5 Season Television Series
9/28/2024 18:13:41,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Romance,Netflix,Laptop/PC,Several times a week,Yes,4,High Subscription Cost,1-3hrs,Yes,4-5 Season Television Series
9/28/2024 18:16:29,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Horror,Netflix,Laptop/PC,Occasionally,No,3,High Subscription Cost,Less than 1hr,Yes,2 hours movie
9/28/2024 18:20:25,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Romance,Netflix,Laptop/PC,Several times a week,Yes,4,High Subscription Cost,1-3hrs,Yes,4-5 Season Television Series
9/28/2024 18:24:03,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,YouTube,Laptop/PC,Occasionally,Yes,4,Lack of Desired Shows/Movies,1-3hrs,No,2 hours movie
9/28/2024 19:09:57,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Horror,Netflix,Laptop/PC,Several times a week,Yes,4,High Subscription Cost,1-3hrs,Yes,2 hours movie
9/28/2024 21:18:08,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Netflix,Laptop/PC,Several times a week,Yes,4,N/A,More than 3hrs,Maybe,4-5 Season Television Series
9/28/2024 22:12:53,25-34,Male,Theatre Hall,Romance,HBO Max,Laptop/PC,Daily,Yes,4,High Subscription Cost,1-3hrs,Yes,2 hours movie
9/28/2024 22:13:53,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Action,Netflix,Smartphone,Daily,No,2,Lack of Desired Shows/Movies,1-3hrs,No,4-5 Season Television Series
9/28/2024 23:23:26,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Romance,Netflix,Smartphone,Daily,No,3,Preference for Other Streaming Platforms,Less than 1hr,Yes,4-5 Season Television Series
9/29/2024 0:12:19,25-34,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Thriller,Netflix,Smartphone,Occasionally,No,3,High Subscription Cost,1-3hrs,Yes,4-5 Season Television Series
9/29/2024 0:28:27,18-24,Male,Theatre Hall,Action,Netflix,Laptop/PC,Occasionally,Yes,3,N/A,Less than 1hr,Maybe,2 hours movie
9/29/2024 1:00:33,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Action,Netflix,Laptop/PC,Occasionally,Yes,4,High Subscription Cost,1-3hrs,No,2 hours movie
9/29/2024 1:35:13,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Netflix,Laptop/PC,Once a week,No,3,N/A,1-3hrs,Maybe,2 hours movie
9/29/2024 5:51:02,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Thriller,Other (Please specify),Smartphone,Occasionally,No,2,Limited Content Variety,Less than 1hr,Maybe,2 hours movie
9/29/2024 12:28:34,25-34,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Science Fiction,Netflix,Smart TV,Several times a week,Yes,4,N/A,More than 3hrs,Yes,2 hours movie
9/29/2024 13:34:32,18-24,Female,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Romance,Netflix,Laptop/PC,Several times a week,Yes,5,Lack of Desired Shows/Movies,Less than 1hr,No,4-5 Season Television Series
9/29/2024 13:37:04,25-34,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Thriller,Amazon Prime Video,Laptop/PC,Once a week,Yes,4,Limited Content Variety,1-3hrs,Yes,2 hours movie
9/29/2024 14:11:48,18-24,Female,Theatre Hall,Thriller,Netflix,Smart TV,Occasionally,Yes,4,High Subscription Cost,1-3hrs,Maybe,2 hours movie
9/29/2024 14:37:35,18-24,Male,"OTT Platforms - Amazon Prime, Netflix, Hulu, etc.",Comedy,Disney+,Smartphone,Daily,Yes,2,Lack of Desired Shows/Movies,1-3hrs,No,2 hours movie
9/29/2024 14:38:38,18-24,Male,Theatre Hall,Action,Netflix,Laptop/PC,Once a week,Yes,4,Lack of Desired Shows/Movies,More than 3hrs,Yes,4-5 Season Television Series
